G:\car\IMG\center_2020_01_19_19_15_32_182.jpg, G:\car\IMG\left_2020_01_19_19_15_32_182.jpg, G:\car\IMG\right_2020_01_19_19_15_32_182.jpg, -0.0359157, 1, 0, 21.86584
G:\car\IMG\center_2020_01_19_19_15_32_285.jpg, G:\car\IMG\left_2020_01_19_19_15_32_285.jpg, G:\car\IMG\right_2020_01_19_19_15_32_285.jpg, -0.3363453, 1, 0, 22.8328
G:\car\IMG\center_2020_01_19_19_15_32_387.jpg, G:\car\IMG\left_2020_01_19_19_15_32_387.jpg, G:\car\IMG\right_2020_01_19_19_15_32_387.jpg, -0.636976, 1, 0, 23.59258
G:\car\IMG\center_2020_01_19_19_15_32_488.jpg, G:\car\IMG\left_2020_01_19_19_15_32_488.jpg, G:\car\IMG\right_2020_01_19_19_15_32_488.jpg, -0.624886, 1, 0, 24.32573
G:\car\IMG\center_2020_01_19_19_15_32_590.jpg, G:\car\IMG\left_2020_01_19_19_15_32_590.jpg, G:\car\IMG\right_2020_01_19_19_15_32_590.jpg, -0.3276856, 1, 0, 25.30672
G:\car\IMG\center_2020_01_19_19_15_32_693.jpg, G:\car\IMG\left_2020_01_19_19_15_32_693.jpg, G:\car\IMG\right_2020_01_19_19_15_32_693.jpg, -0.02932962, 1, 0, 26.26382
G:\car\IMG\center_2020_01_19_19_15_32_792.jpg, G:\car\IMG\left_2020_01_19_19_15_32_792.jpg, G:\car\IMG\right_2020_01_19_19_15_32_792.jpg, 0, 1, 0, 27.18653
G:\car\IMG\center_2020_01_19_19_15_33_060.jpg, G:\car\IMG\left_2020_01_19_19_15_33_060.jpg, G:\car\IMG\right_2020_01_19_19_15_33_060.jpg, -0.7927659, 1, 0, 28.80821
G:\car\IMG\center_2020_01_19_19_15_33_159.jpg, G:\car\IMG\left_2020_01_19_19_15_33_159.jpg, G:\car\IMG\right_2020_01_19_19_15_33_159.jpg, -0.5015759, 1, 0, 29.71167
G:\car\IMG\center_2020_01_19_19_15_33_262.jpg, G:\car\IMG\left_2020_01_19_19_15_33_262.jpg, G:\car\IMG\right_2020_01_19_19_15_33_262.jpg, -0.1949217, 1, 0, 30.19748
G:\car\IMG\center_2020_01_19_19_15_33_363.jpg, G:\car\IMG\left_2020_01_19_19_15_33_363.jpg, G:\car\IMG\right_2020_01_19_19_15_33_363.jpg, 0, 1, 0, 30.18556
G:\car\IMG\center_2020_01_19_19_15_33_464.jpg, G:\car\IMG\left_2020_01_19_19_15_33_464.jpg, G:\car\IMG\right_2020_01_19_19_15_33_464.jpg, 0, 1, 0, 30.18871
G:\car\IMG\center_2020_01_19_19_15_33_564.jpg, G:\car\IMG\left_2020_01_19_19_15_33_564.jpg, G:\car\IMG\right_2020_01_19_19_15_33_564.jpg, 0.2764923, 1, 0, 30.16415
G:\car\IMG\center_2020_01_19_19_15_33_667.jpg, G:\car\IMG\left_2020_01_19_19_15_33_667.jpg, G:\car\IMG\right_2020_01_19_19_15_33_667.jpg, 0.5755533, 1, 0, 30.12316
G:\car\IMG\center_2020_01_19_19_15_33_769.jpg, G:\car\IMG\left_2020_01_19_19_15_33_769.jpg, G:\car\IMG\right_2020_01_19_19_15_33_769.jpg, 0.7949077, 1, 0, 30.11207
G:\car\IMG\center_2020_01_19_19_15_33_871.jpg, G:\car\IMG\left_2020_01_19_19_15_33_871.jpg, G:\car\IMG\right_2020_01_19_19_15_33_871.jpg, 0.4956478, 1, 0, 30.18464
G:\car\IMG\center_2020_01_19_19_15_33_973.jpg, G:\car\IMG\left_2020_01_19_19_15_33_973.jpg, G:\car\IMG\right_2020_01_19_19_15_33_973.jpg, 0.1987293, 1, 0, 30.19713
G:\car\IMG\center_2020_01_19_19_15_34_075.jpg, G:\car\IMG\left_2020_01_19_19_15_34_075.jpg, G:\car\IMG\right_2020_01_19_19_15_34_075.jpg, 0, 1, 0, 30.18651
G:\car\IMG\center_2020_01_19_19_15_34_175.jpg, G:\car\IMG\left_2020_01_19_19_15_34_175.jpg, G:\car\IMG\right_2020_01_19_19_15_34_175.jpg, -0.1087683, 1, 0, 30.18522
G:\car\IMG\center_2020_01_19_19_15_34_276.jpg, G:\car\IMG\left_2020_01_19_19_15_34_276.jpg, G:\car\IMG\right_2020_01_19_19_15_34_276.jpg, -0.1701591, 1, 0, 30.18599
G:\car\IMG\center_2020_01_19_19_15_34_378.jpg, G:\car\IMG\left_2020_01_19_19_15_34_378.jpg, G:\car\IMG\right_2020_01_19_19_15_34_378.jpg, 0, 1, 0, 30.19032
G:\car\IMG\center_2020_01_19_19_15_34_480.jpg, G:\car\IMG\left_2020_01_19_19_15_34_480.jpg, G:\car\IMG\right_2020_01_19_19_15_34_480.jpg, 0, 1, 0, 30.19094
